horodatage;temperature_c;luminosite_lux;co2_ppm;humidite_pct;presence;personnes_estimees;fenetre;ventilation;eclairage
2026-03-16T07:30;19.2;242;430;48.0;non;0;fermée;inactive;éteinte
2026-03-16T07:40;19.3;273;442;48.6;non;0;fermée;inactive;éteinte
2026-03-16T07:50;19.5;303;454;49.1;non;0;fermée;inactive;éteinte
2026-03-16T08:00;20.9;333;1416;49.6;oui;25;ouverte;active;éteinte
2026-03-16T08:10;20.9;362;1352;50.1;oui;23;ouverte;active;éteinte
2026-03-16T08:20;21.2;391;1380;50.6;oui;25;ouverte;active;éteinte
2026-03-16T08:30;21.4;420;1468;51.1;oui;27;ouverte;active;éteinte
2026-03-16T08:40;21.5;447;1518;51.5;oui;28;ouverte;active;éteinte
2026-03-16T08:50;21.5;475;1416;51.9;oui;25;ouverte;active;éteinte
2026-03-16T09:00;21.6;501;1466;52.2;oui;26;ouverte;active;éteinte
2026-03-16T09:10;21.7;527;1456;52.5;oui;27;ouverte;active;éteinte
2026-03-16T09:20;21.7;551;1468;52.7;oui;27;ouverte;active;éteinte
2026-03-16T09:30;21.5;575;1328;52.9;oui;23;ouverte;active;éteinte
2026-03-16T09:40;21.5;598;1340;53.0;oui;23;ouverte;active;éteinte
2026-03-16T09:50;21.5;620;1314;53.0;oui;22;ouverte;active;éteinte
2026-03-16T10:00;21.4;641;1266;53.0;oui;22;ouverte;active;éteinte
2026-03-16T10:10;21.2;660;1126;52.9;oui;18;ouverte;inactive;éteinte
2026-03-16T10:20;21.1;679;1100;52.7;oui;17;fermée;inactive;éteinte
2026-03-16T10:30;21.0;696;1112;52.5;oui;17;ouverte;inactive;éteinte
2026-03-16T10:40;20.9;712;1124;52.3;oui;17;ouverte;inactive;éteinte
2026-03-16T10:50;20.5;727;886;52.0;oui;12;fermée;inactive;éteinte
2026-03-16T11:00;20.4;741;936;51.6;oui;13;fermée;inactive;éteinte
2026-03-16T11:10;20.3;753;948;51.2;oui;13;fermée;inactive;éteinte
2026-03-16T11:20;20.2;764;998;50.8;oui;14;fermée;inactive;éteinte
2026-03-16T11:30;19.9;773;896;50.3;oui;11;fermée;inactive;éteinte
2026-03-16T11:40;19.8;781;886;49.8;oui;12;fermée;inactive;éteinte
2026-03-16T11:50;19.7;788;936;49.3;oui;13;fermée;inactive;éteinte
2026-03-16T12:00;19.7;793;1024;48.7;oui;15;fermée;inactive;éteinte
2026-03-16T12:10;18.8;797;466;48.2;non;0;fermée;inactive;éteinte
2026-03-16T12:20;18.6;799;478;47.6;non;0;fermée;inactive;éteinte
2026-03-16T12:30;18.5;800;430;47.0;non;0;fermée;inactive;éteinte
2026-03-16T12:40;18.4;799;442;46.5;non;0;fermée;inactive;éteinte
2026-03-16T12:50;18.3;797;454;46.0;non;0;fermée;inactive;éteinte
2026-03-16T13:00;18.2;793;466;45.5;non;0;fermée;inactive;éteinte
2026-03-16T13:10;18.1;788;478;45.0;non;0;fermée;inactive;éteinte
2026-03-16T13:20;18.1;781;430;44.6;non;0;fermée;inactive;éteinte
2026-03-16T13:30;19.2;773;1354;44.2;oui;24;ouverte;active;éteinte
2026-03-16T13:40;19.3;764;1442;43.9;oui;26;ouverte;active;éteinte
2026-03-16T13:50;19.4;753;1492;43.6;oui;27;ouverte;active;éteinte
2026-03-16T14:00;19.4;741;1542;43.4;oui;28;ouverte;active;éteinte
2026-03-16T14:10;19.3;727;1380;43.2;oui;25;ouverte;active;éteinte
2026-03-16T14:20;19.4;712;1430;43.1;oui;26;ouverte;active;éteinte
2026-03-16T14:30;19.5;696;1442;43.0;oui;26;ouverte;active;éteinte
2026-03-16T14:40;19.6;679;1454;43.0;oui;26;ouverte;active;éteinte
2026-03-16T14:50;19.5;660;1314;43.1;oui;22;ouverte;active;éteinte
2026-03-16T15:00;19.6;641;1266;43.2;oui;22;ouverte;active;éteinte
2026-03-16T15:10;19.6;620;1240;43.4;oui;21;ouverte;active;éteinte
2026-03-16T15:20;19.8;598;1252;43.6;oui;21;ouverte;active;éteinte
2026-03-16T15:30;19.7;575;1112;43.9;oui;17;ouverte;inactive;éteinte
2026-03-16T15:40;19.9;551;1124;44.3;oui;17;ouverte;inactive;éteinte
2026-03-16T15:50;20.0;527;1038;44.7;oui;16;fermée;inactive;éteinte
2026-03-16T16:00;20.1;501;1050;45.1;oui;16;fermée;inactive;éteinte
2026-03-16T16:10;20.1;474;910;45.6;oui;12;fermée;inactive;éteinte
2026-03-16T16:20;20.2;447;922;46.1;oui;12;fermée;inactive;éteinte
2026-03-16T16:30;20.4;420;972;46.6;oui;13;fermée;inactive;éteinte
2026-03-16T16:40;20.6;391;962;47.1;oui;14;fermée;inactive;éteinte
2026-03-16T16:50;20.5;362;860;47.7;oui;11;fermée;inactive;éteinte
2026-03-16T17:00;20.7;333;910;48.3;oui;12;fermée;inactive;éteinte
2026-03-16T17:10;20.2;303;466;48.8;non;0;fermée;inactive;éteinte
2026-03-16T17:20;20.3;273;478;49.3;non;0;fermée;inactive;éteinte
