id;title;decision;role;format;objectif;representation_mentale;motif
R-B1-001;Cibler et organiser une prospection utile à la PME;surveiller;aucun ajout v3.6;processus;Lorsque la direction ou un commercial fixe une cible, un secteur, un produit à promouvoir ou un objectif de contacts à obtenir.;Un plan de prospection réaliste et un fichier de suivi permettant de savoir qui contacter, pourquoi, par quel canal, quand et avec quel résultat.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-002;Qualifier un fichier de prospects avant une action commerciale;conserver;aucun ajout v3.6;texte-structure;Avant une campagne, après l’import de données ou lorsqu’un fichier contient des doublons, informations anciennes ou contacts mal ciblés.;Un fichier nettoyé, dédupliqué et segmenté, avec un statut et une priorité exploitables dans le PGI ou le tableur.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B1-003;Détecter et analyser un appel d’offres avant de décider de répondre;surveiller;aucun ajout v3.6;processus;Dès qu’un appel d’offres public ou privé est repéré par veille, plateforme, réseau professionnel ou demande directe.;Une fiche go/no-go : objet, acheteur, échéance, périmètre, critères, pièces, contraintes, risques et recommandation à la direction.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-004;Constituer et contrôler un dossier de réponse à un marché public;surveiller;aucun ajout v3.6;processus;Après la décision de candidater, pour organiser la production du dossier jusqu’à la preuve de dépôt.;Un dossier complet, cohérent avec le règlement de consultation, déposé dans le délai, avec une trace des versions et de l’accusé de réception.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-005;Transformer une demande client en proposition commerciale ou devis;conserver;aucun ajout v3.6;texte-structure;Après une demande de prix, de prestation, de renouvellement ou une demande issue d’un commercial.;Un devis ou une proposition commerciale cohérente avec le besoin, les tarifs, les conditions de vente et les capacités de la PME.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B1-006;Contrôler une commande ou un contrat client avant validation;conserver;aucun ajout v3.6;texte-regle;Réception d’un bon de commande, d’un contrat ou d’un retour de devis signé.;Une commande contrôlée, enregistrée et, si nécessaire, une liste d’écarts à résoudre avant exécution.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B1-007;Suivre une vente et une livraison jusqu’à la preuve d’exécution;visuel ajouté v3.6;complement;timeline;Se représenter le cycle d’une vente jusqu’à la preuve d’exécution.;commande → préparation → expédition/prestation → livraison/réception → preuve → alerte si écart;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B1-008;Établir et contrôler une facture conforme;conserver;aucun ajout v3.6;texte-regle;Après livraison/réalisation ou à l’événement de facturation prévu par le contrat et la réglementation.;Une facture exacte, cohérente avec la commande et les preuves d’exécution, comportant les mentions applicables à la situation.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B1-009;Préparer la PME à la facturation électronique 2026–2027;surveiller;aucun ajout v3.6;processus;Diagnostic de préparation, choix ou paramétrage d’une plateforme agréée, fiabilisation des données clients/fournisseurs et tests de processus.;Une checklist de préparation : obligations applicables, plateforme, données de routage, processus réception/émission, rôles, tests, incidents et plan d’action.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-010;Suivre les règlements clients et conduire une relance amiable;surveiller;aucun ajout v3.6;processus;Suivi périodique de balance âgée, facture arrivée à échéance, promesse de paiement non tenue ou litige bloquant le règlement.;Un dossier de relance traçable : facture, échéance, montant, historique, cause du retard, action, engagement client, prochaine date et niveau d’alerte.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-011;Évaluer le risque client avant ou pendant la relation commerciale;surveiller;aucun ajout v3.6;processus;Nouveau client, commande importante, demande de délai inhabituel, hausse d’encours ou retards répétés.;Une évaluation argumentée du risque client avec indicateurs factuels, exposition, signaux d’alerte et proposition à valider.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-012;Fiabiliser et mettre à jour le système d’information clients;conserver;aucun ajout v3.6;texte-structure;Création d’un client, changement d’adresse, fusion de doublons, migration, retour de facture ou campagne de qualité des données.;Une fiche client fiable, avec données critiques contrôlées, source/date de mise à jour, historique conservé et éventuels écarts traités.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B1-013;Accueillir, informer et orienter un client de façon professionnelle;conserver;aucun ajout v3.6;texte-structure;Accueil physique, téléphone, messagerie, formulaire, réseau social ou demande transmise par un collègue.;Une demande qualifiée, une réponse adaptée ou une orientation vers le bon interlocuteur, avec une trace lorsque le suivi est nécessaire.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
