Mission;Titre;Activités;Compétences officielles;Tâches;Critères de performance disponibles;Savoirs associés;Statut (Découvert/Entraîné/Évalué)
M01;Trouver de nouveaux prospects sans savoir comment organiser la prospection;A1.1 Recherche de clientèle et contact;Rechercher des clients par prospection ou pour répondre à un appel d’offres;T1.1.1 Organisation de la prospection et prospection clientèle | T1.1.3 Communication avec des acteurs internes, avec les prospects, les clients et les pouvoirs adjudicateurs;Une analyse pertinente de la situation de gestion prenant en compte les priorités, les clients, les contingences et les caractéristiques de l’entreprise | L'identification pertinente de la cible de clientèle, le choix d’une méthode de prospection et des documents nécessaires à la prospection | Une prospection efficace, ciblée et les outils de suivi adaptés | Une réponse pertinente aux appels d’offre dans le champ de compétences de la PME et des outils de suivi adaptés | Une utilisation adaptée des fonctionnalités de gestion de la relation clientèle du PGI et du tableur. | Une analyse pertinente du contexte, de l’objectif, des enjeux, du registre de langue, de la stratégie de communication liée à la prospection | Une image valorisante et fidèle de l’entreprise dans la relation avec les prospects | Une communication écrite et orale adaptée à l’objectif et à la cible de prospection ou pour préparer la réponse à l’appel d’offres | Des documents écrits de qualité professionnelle dans le respect des règles (éthiques, orthographiques, syntaxiques, argumentation) et des valeurs de l’entreprise | Le développement des relations professionnelles internes facilitant la circulation de l’information et la coordination des acteurs internes | Une utilisation adaptée des outils de messagerie, des logiciels de traitement de texte et de présentation | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.1.1 L’identification de la clientèle | S1.1.2 La prospection et la qualification des prospects | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S5.2 Communication écrite opérationnelle | S5.4 La communication numérique écrite;
M02;Passer d’une commande client à une facture sans oublier les contrôles;A1.2 Administration des ventes de la PME;Traiter la demande du client, de la demande de devis jusqu’à la relance des éventuels impayés;T1.2.2 Préparation des contrats commerciaux (commandes, contrats de maintenance, garanties complémentaires, contrats de sous-traitance, etc.) | T1.2.7 Communication avec des acteurs internes, les fournisseurs et les clients | T1.2.3 Suivi des ventes et des livraisons | T1.2.4 Facturation, suivi des règlements et des relances « clients »;Une analyse pertinente de la relation avec les clients prenant en compte les priorités, les contingences et les caractéristiques de l’entreprise, les contraintes de confidentialité et les éventuels risques | Une actualisation et un traitement efficace des informations relatives aux clients | Des factures, documents commerciaux adaptés et conformes à la législation et aux usages de l'entreprise et de la profession et aux caractéristiques du client | Des opérations de suivi, de contrôle, de correction ou encore relance adaptées à la situation commerciale et effectuées avec rigueur, réactivité et pertinence | Une utilisation adaptée des fonctionnalités de gestion de la relation clientèle du PGI et du tableur. | Une analyse pertinente du contexte, de l’objectif, des enjeux, de la stratégie, du registre de langue de la situation de communication | Une réponse adaptée aux clients : objectifs à atteindre, justification des choix des procédés d’argumentation, de la structuration, des outils utilisés, mode de diffusion des messages | Des relances efficaces | Une image valorisante et fidèle de l’entreprise dans la relation avec la clientèle | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques,éthiques, argumentation) et des valeurs de l’entreprise | La conduite professionnelle d’un entretien téléphonique ou en face à face avec les clients | La communication pertinente d’informations fiables et actualisées sur les clients, les ventes | Une utilisation adaptée des outils de messagerie, du traitement de texte et du logiciel de présentation assistée par ordinateur | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.2.2 Les documents commerciaux, les contrats, l’établissement des factures | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S1.2.3 Le suivi des commandes clients – la traçabilité du produit | S1.2.5 Les principes de base du modèle comptable, les comptes, comptes de tiers et balance;
M03;Un client n’a pas payé : savoir quoi vérifier avant de relancer;A1.2 Administration des ventes de la PME | A1.6 Suivi comptable des opérations avec les clients et les fournisseurs de la PME;Traiter la demande du client, de la demande de devis jusqu’à la relance des éventuels impayés | Assurer le suivi comptable des opérations commerciales;T1.2.4 Facturation, suivi des règlements et des relances « clients » | T1.2.5 Évaluation du risque client | T1.2.7 Communication avec des acteurs internes, les fournisseurs et les clients | T1.6.3 Suivi des comptes de trésorerie, des comptes de tiers, des encaissements et des décaissements;Une analyse pertinente de la relation avec les clients prenant en compte les priorités, les contingences et les caractéristiques de l’entreprise, les contraintes de confidentialité et les éventuels risques | Une actualisation et un traitement efficace des informations relatives aux clients | Des factures, documents commerciaux adaptés et conformes à la législation et aux usages de l'entreprise et de la profession et aux caractéristiques du client | Des opérations de suivi, de contrôle, de correction ou encore relance adaptées à la situation commerciale et effectuées avec rigueur, réactivité et pertinence | Une utilisation adaptée des fonctionnalités de gestion de la relation clientèle du PGI et du tableur. | Une analyse pertinente du contexte, de l’objectif, des enjeux, de la stratégie, du registre de langue de la situation de communication | Une réponse adaptée aux clients : objectifs à atteindre, justification des choix des procédés d’argumentation, de la structuration, des outils utilisés, mode de diffusion des messages | Des relances efficaces | Une image valorisante et fidèle de l’entreprise dans la relation avec la clientèle | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques,éthiques, argumentation) et des valeurs de l’entreprise | La conduite professionnelle d’un entretien téléphonique ou en face à face avec les clients | La communication pertinente d’informations fiables et actualisées sur les clients, les ventes | Une utilisation adaptée des outils de messagerie, du traitement de texte et du logiciel de présentation assistée par ordinateur | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte | Des documents comptables issus du PGI conformes à la réglementation | La mise en place de procédures de contrôle assurant la conformité aux principes comptables et aux choix de l’entité | Une analyse des créances clients et des dettes fournisseurs impayées | Un état de rapprochement bancaire exact | L’établissement, le contrôle et le dépôt de la déclaration de TVA conforme à la réglementation | Un recensement et un traitement des éventuelles difficultés rencontrées | Une utilisation adaptée des fonctionnalités du PGI et du tableur | Une image valorisante et fidèle de l’entreprise dans la relation avec les banques | Une communication écrite ou orale pertinente avec les responsables, les banques et l’expert-comptable | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise | La communication d’informations fiables et actualisées sur les clients, les fournisseurs, les ventes et les achats, les règlements | Une utilisation adaptée des outils de messagerie, du traitement de texte et du logiciel de PREAO | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.2.4 Les risques d’insolvabilité | S1.2.5 Les principes de base du modèle comptable, les comptes, comptes de tiers et balance | S1.6.3 Suivi des encaissements et décaissements | S5.2 Communication écrite opérationnelle | S5.5 La communication orale interpersonnelle | S1.7.1 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre du suivi comptable | S5.4 La communication numérique écrite;
M04;Un client mécontent menace de partir après une livraison en retard;A1.3 Maintien et développement de la relation avec les clients de la PME | A1.2 Administration des ventes de la PME;Informer, conseiller, orienter et traiter les réclamations | Traiter la demande du client, de la demande de devis jusqu’à la relance des éventuels impayés;T1.3.2 Traitement et suivi des réclamations | T1.3.3 Communication pour développer la relation client | T1.2.3 Suivi des ventes et des livraisons | T1.2.7 Communication avec des acteurs internes, les fournisseurs et les clients;Une analyse pertinente de la situation commerciale et de ses différents paramètres | La conception d’une procédure pertinente pour l’accueil des clients | Un accueil, des informations et des conseils pertinents et efficaces auprès de la clientèle | Un traitement efficace des réclamations formulées par les clients | Un calcul pertinent des coûts de la non-qualité liés aux réclamations | Une utilisation adaptée des fonctionnalités de gestion de la relation clientèle du PGI et du tableur. | Une analyse pertinente du contexte de la communication, de l’objectif, des enjeux et de la stratégie de communication, du registre de langues, de l’historique avec le client | Des prises en notes efficaces et fidèles (reformulation, restitution) diffusées au destinataire | Une réponse adaptée à la demande du client en fonction des objectifs à atteindre | La conduite professionnelle d’un entretien téléphonique ou en face à face avec les clients adaptée à la situation commerciale | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques,argumentation) et des valeurs de l’entreprise | La mise en œuvre de techniques de gestion des conflits | Une image valorisante et fidèle de l’entreprise dans la relation avec la clientèle | La communication d’informations fiables et actualisées sur les réclamations | Une utilisation adaptée des outils de messagerie, du traitement de texte | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte | Une analyse pertinente de la relation avec les clients prenant en compte les priorités, les contingences et les caractéristiques de l’entreprise, les contraintes de confidentialité et les éventuels risques | Une actualisation et un traitement efficace des informations relatives aux clients | Des factures, documents commerciaux adaptés et conformes à la législation et aux usages de l'entreprise et de la profession et aux caractéristiques du client | Des opérations de suivi, de contrôle, de correction ou encore relance adaptées à la situation commerciale et effectuées avec rigueur, réactivité et pertinence | Une utilisation adaptée des fonctionnalités de gestion de la relation clientèle du PGI et du tableur. | Une analyse pertinente du contexte, de l’objectif, des enjeux, de la stratégie, du registre de langue de la situation de communication | Une réponse adaptée aux clients : objectifs à atteindre, justification des choix des procédés d’argumentation, de la structuration, des outils utilisés, mode de diffusion des messages | Des relances efficaces | Une image valorisante et fidèle de l’entreprise dans la relation avec la clientèle | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques,éthiques, argumentation) et des valeurs de l’entreprise | La conduite professionnelle d’un entretien téléphonique ou en face à face avec les clients | La communication pertinente d’informations fiables et actualisées sur les clients, les ventes | Une utilisation adaptée des outils de messagerie, du traitement de texte et du logiciel de présentation assistée par ordinateur | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.3.2 Les réclamations | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S5.7 La gestion des conflits | S1.2.3 Le suivi des commandes clients – la traçabilité du produit | S5.2 Communication écrite opérationnelle | S5.5 La communication orale interpersonnelle | S5.1 Enjeux et concepts de base de communication | S5.4 La communication numérique écrite;
M05;Choisir entre trois fournisseurs sans se contenter du prix le plus bas;A1.4 Recherche et choix des fournisseurs de la PME;Rechercher et sélectionner les fournisseurs;T1.4.1 Étude des projets d’achats et des investissements | T1.4.5 Communication avec des acteurs internes et avec les fournisseurs | T1.4.2 Recherche des fournisseurs | T1.4.4 Mise à jour du système d’information fournisseurs | T1.4.3 Comparaison des offres, sélection et qualification des fournisseurs;Une analyse pertinente de la situation d’achat ou d’investissement prenant en compte les priorités, les contingences et les caractéristiques de l’entreprise | Un cahier des charges reflétant les besoins de la PME | Des propositions argumentées et adaptées de choix en termes de qualifications de fournisseurs | Une actualisation du système d'information avec des données relatives aux fournisseurs | Une utilisation adaptée des fonctionnalités du PGI et du tableur | Une analyse pertinente du contexte de communication, de l’objectif, des enjeux, de la stratégie, du registre de langue pour formuler l’appel d’offres ou pour obtenir des informations supplémentaires auprès du fournisseur | Une image valorisante et fidèle de l’entreprise dans la relation avec les fournisseurs | La formulation d’une demande pertinente écrite ou orale auprès du fournisseur : structuration, outils utilisés et modes de diffusion | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise | Le développement des relations professionnelles internes facilitant la circulation de l’information | La communication d’informations fiables et actualisées sur les fournisseurs | Une utilisation adaptée des outils de messagerie, du traitement de texte et de présentation | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.4.1 Typologie des achats et investissements | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S1.4.2 Référencement des fournisseurs / Système d’information fournisseur | S5.2 Communication écrite opérationnelle;
M06;Le stock baisse : décider s’il faut recommander et contrôler la commande;A1.5 Suivi et contrôle des opérations d’achats et d’investissement de la PME;Passer les commandes d’achat et d’immobilisation et les contrôler, valider le règlement, évaluer les fournisseurs;T1.5.2 Passation et suivi des commandes | T1.5.4 Contrôle des achats et des règlements | T1.5.6 Communication écrite et orale avec des acteurs internes, les fournisseurs et les partenaires;Une analyse pertinente de la situation d’achat prenant en compte les priorités, les contingences et les caractéristiques de l’entreprise | Une analyse, une évaluation quantitative et qualitative des besoins de la PME en produits et services | Un dossier préparatoire à la négociation pertinent prenant en compte les caractéristiques de la PME et les souhaits du dirigeant | Des commandes passées auprès des fournisseurs conformes aux besoins et prenant en compte les contraintes de la PME | Des documents commerciaux conformes à la législation, aux usages de l'entreprise et de la profession et aux caractéristiques du fournisseur | Des documents comptables liés aux acquisitions conformes à la législation (plans d’amortissement suivant le mode d’amortissement choisi par l’entité) | Des traitements et opérations de suivi et contrôle des stocks, des achats et des règlements | Des critères de performance et des outils d’évaluation des fournisseurs | Des propositions d'actions à mener auprès des fournisseurs | Une utilisation adaptée des fonctionnalités du PGI et du tableur | Une analyse pertinente du contexte de communication, de l’objectif, des enjeux, de la stratégie, du registre de langue et du mode de diffusion | Une image valorisante et fidèle de l’entreprise dans la relation avec les fournisseurs | Une communication écrite ou orale pertinente avec les fournisseurs, l’expert-comptable, les banques et avec les responsables et les salariés de l’entreprise | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise | La communication d’informations fiables et actualisées sur les achats | Une utilisation adaptée des outils de messagerie, du traitement de texte | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.5.2 Principes généraux de la gestion des stocks | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S1.5.1 Processus d’achat et d’investissement, les commandes fournisseurs | S1.2.2 Les documents commerciaux, les contrats, l’établissement des factures;
M07;La banque et les comptes clients ne correspondent pas en fin de mois;A1.6 Suivi comptable des opérations avec les clients et les fournisseurs de la PME;Assurer le suivi comptable des opérations commerciales;T1.6.2 Suivi des relations avec les banques | T1.6.3 Suivi des comptes de trésorerie, des comptes de tiers, des encaissements et des décaissements | T1.6.1 Contrôle de l’enregistrement comptable des opérations d’achats, d’investissement, de ventes et de règlements;Des documents comptables issus du PGI conformes à la réglementation | La mise en place de procédures de contrôle assurant la conformité aux principes comptables et aux choix de l’entité | Une analyse des créances clients et des dettes fournisseurs impayées | Un état de rapprochement bancaire exact | L’établissement, le contrôle et le dépôt de la déclaration de TVA conforme à la réglementation | Un recensement et un traitement des éventuelles difficultés rencontrées | Une utilisation adaptée des fonctionnalités du PGI et du tableur | Une image valorisante et fidèle de l’entreprise dans la relation avec les banques | Une communication écrite ou orale pertinente avec les responsables, les banques et l’expert-comptable | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise | La communication d’informations fiables et actualisées sur les clients, les fournisseurs, les ventes et les achats, les règlements | Une utilisation adaptée des outils de messagerie, du traitement de texte et du logiciel de PREAO | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S1.6.1 Principes comptables | S1.6.3 Suivi des encaissements et décaissements | S1.7.1 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre du suivi comptable | S1.2.5 Les principes de base du modèle comptable, les comptes, comptes de tiers et balance;
M08;Une exigence client change : transformer l’information en action pour la PME;A2.1 Conduite d’une veille;Conduire une veille;T2.1.2 Qualification de l’information | T2.1.3 Mise en évidence de risques éventuels | T2.1.4 Alerte des responsables de la PME | T2.1.5 Synthèse et diffusion de l’information | T2.1.6 Mise à jour des pratiques et des procédures;Une analyse pertinente de la situation et du thème de veille, de ses enjeux | La construction d’une stratégie et la conduite de veille en fonction des besoins de la PME (économique, commerciale, réglementaire, ….) | L’évaluation de la fiabilité et de la pertinence de diverses sources d’informations et des informations recueillies | Une synthèse des informations recueillies par la veille et la mise en évidence des obligations à respecter | Un archivage pertinent des informations | L’utilisation de logiciels spécialisés pour mettre en place une veille. | Une analyse pertinente de la situation de communication | Une communication écrite ou orale pertinente et adaptée à la situation | Une diffusion de l’information pertinente auprès des services et/ou personnes ciblées par la veille et en fonction du risque repéré | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise | L’utilisation adaptée du traitement et du logiciel de messagerie | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S2.1.1 Méthodologie de la veille | S2.1.2 Droit de la propriété intellectuelle | S5.2 Communication écrite opérationnelle | S5.4 La communication numérique écrite;
M09;Numériser les archives en six semaines : passer d’une idée à un projet pilotable;A2.2 Participation à la mise en place d’un travail en mode projet au sein de la PME;Accompagner la mise en place d’un travail en mode projet;T2.2.1 Identification du besoin en termes d’organisation | T2.2.2 Conduite d’une analyse fonctionnelle interne et externe | T2.2.3 Élaboration du cahier des charges et planification des tâches à réaliser | T2.2.4 Organisation et conduite de réunions avec les acteurs du projet | T2.2.5 Suivi du projet;Une analyse pertinente de la situation en prenant en compte les priorités, les contingences et les caractéristiques de la PME et du projet | Une démarche de conduite du projet adaptée aux contraintes et au respect des délais impartis | Une organisation et un suivi du travail collaboratif au sein d’un dispositif numérique de partage, pertinents au regard de l’objectif du projet | L’organisation de réunions | Des opérations de suivi, de contrôle (y compris pour les coûts liés au projet), de correction effectuées avec rigueur, réactivité et pertinence selon le projet ou le dossier pris en charge | La constitution de dossiers et/ou la mise en place de procédures d’amélioration | Une analyse pertinente des situations de communication inhérentes au projet | Des relations régulières avec le responsable du projet et les acteurs internes et partenaires extérieurs au projet | Une communication écrite et orale pertinente et adaptée aux acteurs internes et externes liés au projet | La conduite professionnelle d’entretiens et de réunions | L’animation d’un travail collaboratif au sein d’un dispositif numérique de partage au regard du projet | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise | Une utilisation adaptée des outils de communication, du traitement de textes, d’outils de présentation assistée par ordinateur et de planification de projet | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S2.2 Méthodologie de la conduite de projet | S2.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S5.5 La communication orale interpersonnelle | S5.6 La communication dans les groupes;
M10;Des incidents se répètent : identifier les risques réellement prioritaires;A2.3 Mise en œuvre d’une démarche de gestion des risques de la PME;Identifier, évaluer les risques de l’entreprise et proposer des actions correctrices;T2.3.1 Identification des risques | T2.3.4 Analyse, évaluation des risques et alerte éventuelle des dirigeants de la PME | T2.3.5 Proposition d’actions correctrices | T2.3.6 Mise en œuvre, diffusion et suivi des actions validées;Une analyse pertinente de la situation en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise | L’évaluation de la fiabilité et de la pertinence des sources d’information | La proposition et la mise en place d’un archivage des documents conformes aux obligations légales | La proposition et la mise en place de procédures d’amélioration du travail et des propositions d’actions correctives conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur | Une analyse pertinente de la situation de communication | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes | La conduite professionnelle d’entretiens et de réunions | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques) et des valeurs de l’entreprise | L’utilisation adaptée du traitement de texte, de PréAO | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S2.3 La gestion des risques | S2.7 Fonctionnalités du PGI et d’outils bureautiques et numériques;
